,dummy,dummy,logreg,logreg,svc,svc,logreg_bal,logreg_bal,svc_bal,svc_bal
,mean,std,mean,std,mean,std,mean,std,mean,std
fit_time,0.176,0.012,1.495,0.722,17.859,0.319,1.394,0.238,30.267,0.39
score_time,0.136,0.019,0.176,0.044,2.164,0.111,0.156,0.009,3.583,0.072
test_accuracy,0.887,0.0,0.906,0.007,0.904,0.005,0.837,0.01,0.821,0.008
train_accuracy,0.887,0.0,0.907,0.001,0.916,0.001,0.839,0.001,0.843,0.002
test_precision,0.0,0.0,0.667,0.062,0.662,0.057,0.388,0.02,0.365,0.011
train_precision,0.0,0.0,0.669,0.007,0.754,0.009,0.393,0.003,0.41,0.003
test_recall,0.0,0.0,0.34,0.033,0.316,0.029,0.777,0.05,0.794,0.036
train_recall,0.0,0.0,0.344,0.005,0.377,0.009,0.785,0.006,0.892,0.003
test_f1,0.0,0.0,0.45,0.039,0.426,0.032,0.518,0.025,0.5,0.013
train_f1,0.0,0.0,0.454,0.006,0.503,0.009,0.523,0.003,0.562,0.003
